,album_id,album_name,artist_id,artist_name,duration_ms,explicit,popularity,release_date,song_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,album_popularity,record_label,artist_followers,artist_genres,artist_popularity
1wEUOOM1GQC9AnBUp3j3pd,00rPDvvIokz4gdf7Sazwyb,Feel Good Inc.,0pu9LAsUMg8nhMK1hmiM5b,Seramic,174406,False,0,2016-12-16,Feel Good Inc.,0.0246,0.731,0.647,0.335,7,0.369,-8.101,1,0.243,151.951,4,0.806,0,GMF Records,7495,['uk_contemporary_r&b'],34
7raRro9ERMseG8o7TyfSgc,1hIa8LCNg8akdUPq5VZVC7,Call and Response,09s6bLEw45wioK9ytf3nsA,Westerman,216893,False,27,2017-10-06,Keep Track,0.793,0.799,0.169,0.339,11,0.0934,-15.431,1,0.0472,116.014,4,0.484,38,Blue Flowers Music,9540,[],48
5GpAhJpbHvUi6gY6RG15Ze,0CuYNS755Ow710G2E7aLDE,Life of a Dark Rose,7d3WFRME3vBY2cgoP38RDo,Lil Skies,169411,True,73,2017-12-12,Welcome to the Rodeo,0.128,0.69,0.881,0,5,0.0927,-4.297,0,0.284,169.973,4,0.503,86,All We Got Ent.,2136305,"['rap', 'trap_music']",84
4ndIn6i31F3FNPbXehH9VX,2ROWavwVdRckYLMGj3CGi4,Gravity,37fzXndf2fxVrk7qarhyo0,Leo Stannard,183100,False,35,2018-01-05,Gravity,0.466,0.788,0.404,1.34e-06,1,0.102,-5.858,1,0.0533,95.035,4,0.462,31,Black Butter,25215,"['indie_anthem-folk', 'indie_folk']",54
3JU0SDdYhoZKWHs1DSkYKo,2AiyF4ysfuN8jGnrK0TVGB,October,56NSAhpJRoeaGi5uyUdYlI,George Ogilvie,307401,False,1,2016-11-04,October,0.574,0.685,0.53,0,5,0.0845,-7.25,1,0.0325,117.985,4,0.19,0,Unsigned,32349,"['chamber_pop', 'folk-pop', 'indie_anthem-folk', 'indie_cafe_pop', 'indie_folk']",60
11fWdiiK1i8cvYbRjo2ght,4E9hPmPHXm77oUMdl3uHAw,Outside The Lines,0A3HlWZGV8WrCcqxKM2neg,Riley Pearce,238742,False,39,2016-02-19,Outside The Lines,0.504,0.693,0.463,8.23e-06,6,0.0885,-9.76,1,0.0325,124.012,4,0.507,59,Riley Pearce,15587,"['australian_singer-songwriter', 'indie_anthem-folk', 'indie_folk']",53
1BSTxGkSTTLwEpbuusHRzH,0damtrWa5KnlBhXNK5IcYK,Your Dog,4wXchxfTTggLtzkoUhO86Q,Soccer Mommy,194009,True,6,2018-01-10,Your Dog,0.122,0.652,0.669,0.00039,11,0.169,-7.797,0,0.0262,115.047,4,0.769,4,Fat Possum,61244,"['art_pop', 'electropop', 'folk-pop', 'indie_folk', 'indie_pop', 'indie_psych-rock', 'indie_rock', 'modern_rock', 'preverb', 'small_room']",58
0xC7epACVQS66MSSEE8wZf,0WtsLEGmrrEc1TfGeyLi1N,For Young Hearts,4wXchxfTTggLtzkoUhO86Q,Soccer Mommy,227600,False,37,2016-06-17,Henry,0.696,0.681,0.616,0.00123,9,0.0872,-8.712,1,0.0284,123.022,4,0.707,48,Orchid Tapes,61244,"['art_pop', 'electropop', 'folk-pop', 'indie_folk', 'indie_pop', 'indie_psych-rock', 'indie_rock', 'modern_rock', 'preverb', 'small_room']",58
1oV6s5npYlvgUYYoV8kJyH,28Pxg5ButFEUUHUrSSOInA,Strange Desires,7j9w3ZdRfX9yqzC0Gjbyrl,Corniglia,189615,False,1,2018-01-09,Strange Desires,0.389,0.403,0.765,0.865,7,0.0781,-7.677,1,0.0373,168.832,4,0.757,0,Hello Goodbye,232,[],6
6o27JR6sr3pqEwlsQT2FVh,6lAAyYxuIi6kGuvY2dzkR5,Progress,6L6LwshK4H0TVqsNfCO69t,Baerd,206976,False,19,2018-01-01,Changing Man,0.839,0.388,0.372,1.74e-06,5,0.214,-9.771,1,0.0359,104.438,3,0.346,18,581999 Records DK2,432,[],12
0fGyGhC6zfAyJbyJbagKkY,6lAAyYxuIi6kGuvY2dzkR5,Progress,6L6LwshK4H0TVqsNfCO69t,Baerd,402432,False,3,2018-01-01,Happiness,0.764,0.329,0.349,0.000251,5,0.146,-10.579,0,0.0365,85.227,3,0.167,18,581999 Records DK2,432,[],12
1hZI2RSen5pK2DMWQAJBlX,6lAAyYxuIi6kGuvY2dzkR5,Progress,6L6LwshK4H0TVqsNfCO69t,Baerd,377941,False,2,2018-01-01,Safer Apathy,0.839,0.278,0.402,0.00138,2,0.112,-10.058,1,0.0311,85.902,4,0.171,18,581999 Records DK2,432,[],12
5uNpLVVqD1FJeOWMYwgwpC,0sEtrpqyGXWGVJde4u7E0h,In Time,6RW7719rucwK4QweWLxFhb,Dom Mcallister,168184,False,31,2016-08-01,In Time,0.155,0.664,0.538,4.22e-06,5,0.12,-7.181,0,0.0948,91.944,4,0.46,27,Raggamuffin Music,1102,['uk_contemporary_r&b'],29
3zD16TxKXviEuieVL8kYZc,0hUSZ2y5jRVE3Aprsxw2ZD,Walking,6RW7719rucwK4QweWLxFhb,Dom Mcallister,192742,False,22,2016-12-04,Walking,0.35,0.729,0.816,3.43e-05,10,0.0903,-6.635,0,0.0687,91.047,4,0.535,18,Raggamuffin Music,1102,['uk_contemporary_r&b'],29
3LrWm1p4SVf2XCR8KKmylx,2nLHuRwQfilzuT1gJQa8ZZ,Only One,6RW7719rucwK4QweWLxFhb,Dom Mcallister,217955,False,27,2017-09-07,Only One,0.0634,0.591,0.619,0,0,0.0839,-5.977,0,0.0559,105.131,4,0.455,24,Independent,1102,['uk_contemporary_r&b'],29
7uZEIIxCVhHGVUwtOZO2Er,4FysGZbj0qdRRNxUdiSut0,On The Rocks,7qevodTHcV0rtg9O7ih6nn,Louis Mattrs,215909,False,55,2017-10-13,Don’t Lose Your Cool,0.0488,0.636,0.765,4.92e-05,8,0.244,-5.338,0,0.0471,100.008,4,0.345,53,The Full Hundred,14477,"['alternative_r&b', 'neo_r&b', 'uk_contemporary_r&b']",54
3S2LNcyJre3hvJbPTcoghO,3luWrggbv1wxvfwB7mxHtR,Someone That You Love,6f96znq79wvlknKHHHhtTW,Jarreau Vandal,177062,False,61,2017-03-10,Someone That You Love,0.558,0.737,0.429,0,4,0.142,-8.261,1,0.0665,105.059,4,0.44,58,Hear This Records,22250,"['alternative_r&b', 'indie_r&b', 'neo_r&b']",54
4wF7Ug1z1DWcRTnsmyPhR5,7jtrksCibC5IlzMbPM43wj,100°,3V1zHjaKSXKbaOEGNHjuPO,Zoology,206528,False,0,2017-09-29,100°,0.725,0.541,0.383,0.000255,9,0.125,-15.75,1,0.158,172.32,3,0.222,0,Majestic Casual Records,13481,[],36
3G9zeErd0kMx012kmYUrm7,0Yo1LADdOR5RZtkilf891i,3:33am,0tbeZu9lv8YEKSQ9tZSslu,Amber Mark,214578,False,63,2017-05-12,Lose My Cool,0.579,0.733,0.474,0.000272,3,0.087,-8.024,1,0.0439,102.976,4,0.328,64,Virgin EMI,74980,"['alternative_r&b', 'electropop', 'indie_r&b', 'neo_r&b', 'vapor_soul']",62
04G8U1rkNbiiLNsWo2doW2,0Yo1LADdOR5RZtkilf891i,3:33am,0tbeZu9lv8YEKSQ9tZSslu,Amber Mark,277151,False,54,2017-05-12,Monsoon,0.315,0.668,0.63,1.75e-06,0,0.0808,-9.139,1,0.0833,100.007,4,0.33,64,Virgin EMI,74980,"['alternative_r&b', 'electropop', 'indie_r&b', 'neo_r&b', 'vapor_soul']",62
6OcMFPjmM8VGZ5JtUHURrT,65MKsa8ZfgWQMQl7BsUPRP,22 MINUTES LATER,2PLMuRIKJKvwg3rOGr2MuK,Brayton Bowman,226379,False,30,2017-02-24,PUFF PUFF PASS,0.0229,0.636,0.72,0,0,0.0692,-4.442,1,0.272,89.932,4,0.449,31,Big Deb Inc.,7641,[],47
7j1Q7Xx6Ozn5mUJfrqaSjp,5Bh11XSvjNukA0Fesg76fE,What You Need,28yVvEvA2lT3K5RNIhV1Dj,BAYNK,218086,False,5,2016-11-04,What You Need,0.56,0.805,0.658,0.0133,6,0.124,-6.137,1,0.0702,114.972,4,0.305,3,BAYNK,30956,"['electropop', 'indie_poptimism', 'tropical_house', 'vapor_soul', 'vapor_twitch']",60
33g7RkuLMnrXK2qKSjjHho,21saZA6dLlabgZY4aZMBsJ,Come Home,28yVvEvA2lT3K5RNIhV1Dj,BAYNK,246923,False,4,2017-07-14,Come Home,0.432,0.698,0.585,0.265,9,0.0946,-7.629,1,0.0479,104.018,4,0.116,3,BAYNK,30956,"['electropop', 'indie_poptimism', 'tropical_house', 'vapor_soul', 'vapor_twitch']",60
1RKytJX5Lpe8yJm1Jx7XU5,4QTgcEnlreAN3bz4IgkmKM,Yours - EP,0GG2cWaonE4JPrjcCCQ1EG,SG Lewis,230540,False,54,2016-08-18,Yours,0.549,0.68,0.241,2.54e-05,6,0.222,-11.448,0,0.247,127.908,4,0.211,54,Virgin EMI,110891,"['alternative_r&b', 'electropop', 'indie_poptimism', 'indie_r&b', 'tropical_house', 'vapor_soul']",64
4ckbWlHERud4HEFYFBOOde,3aYNdhUmXsuQFY8qQBprSe,Stunna,6nwEYQKFXGAKvwnUqZUd52,Ghoulavelii,97071,True,0,2016-07-28,Stunna,0.00127,0.823,0.824,1.09e-06,10,0.419,-3.983,0,0.108,139.982,4,0.653,0,Boiler Boyz Entertainment,1361,[],33
0e11PhyijgPy3xubkxbC1O,2tOGdBpi5J4A25CaW2uWAj,Real & Legendary Dogs,5f9h4gMACyMoDmZUWTtslP,World of Dog,392000,False,5,2017-01-07,Dexterity,0.596,0.602,0.402,0.81,4,0.138,-13.737,0,0.118,170.045,4,0.218,5,Excellent Spaces,97,[],2
41CTgbDDGgBs52uwsfx8S1,3H8RKfpv4jrOD6XugbtWcN,Death Valley Oasis,6DIUUnQRMBTkigLlsAxblR,D33J,245972,False,18,2017-09-08,Wisp (feat. Baths),0.00753,0.702,0.752,0.763,1,0.122,-10.15,1,0.0386,123.014,3,0.68,36,Anticon.,8218,"['abstract_beats', 'underground_hip_hop']",55
